roi_id	distal_chr	distal_start	distal_end	Condition	geneSymbol	Regulation	Context	Genomic_Partition	genomic_partition_distal	mean_dPSI	max_dPSI	overlap_GSE229295_MCF10A_H3K27ac_pooled_peaks	overlap_GSE229295_MCF10A_H3K27me3_pooled_peaks	overlap_GSE229295_MCF10A_H3K4me1_pooled_peaks	overlap_GSE229295_MCF10A_H3K4me3_pooled_peaks	overlap_GSE229295_MCF10AT1_H3K27ac_pooled_peaks	overlap_GSE229295_MCF10AT1_H3K27me3_pooled_peaks	overlap_GSE229295_MCF10AT1_H3K4me1_pooled_peaks	overlap_GSE229295_MCF10AT1_H3K4me3_pooled_peaks	overlap_GSE229295_MCF10CA1a_H3K27ac_pooled_peaks	overlap_GSE229295_MCF10CA1a_H3K27me3_pooled_peaks	overlap_GSE229295_MCF10CA1a_H3K4me1_pooled_peaks	overlap_GSE229295_MCF10CA1a_H3K4me3_pooled_peaks	overlap_GSE98551_MCF10A_CTCF_pooled_peaks_passIDR.05	overlap_GSE98551_MCF10AT1_CTCF_pooled_peaks_passIDR.05	overlap_GSE98551_MCF10CA1_CTCF_pooled_peaks_passIDR.05	overlap_RLOOP_dRNH
chr21_36938995_36947332	chr21	36505000	36510000	MCF10A	HLCS	Excluded	AvT	Intron	Intron	-0.192	-0.116	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr22_35258589_35262762	chr22	37255000	37260000	MCF10A	HMGXB4	Included	AvT	Intron	Promoter	0.137	0.137	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE
chr22_35258589_35262762	chr22	33795000	33800000	MCF10A	HMGXB4	Included	AvT	Intron	Intron	0.137	0.137	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr22_35258589_35262762	chr22	33855000	33860000	MCF10A	HMGXB4	Included	AvT	Intron	Exon	0.137	0.137	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr22_35258589_35262762	chr22	33920000	33925000	MCF10A	HMGXB4	Included	AvT	Promoter	Promoter	0.137	0.137	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE
chr22_30022698_30025629	chr22	29665000	29670000	MCF10A	MTMR3	Included	AvT	Intron	Exon	0.139	0.139	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr22_29681602_29683700	chr22	30000000	30005000	MCF10A	NF2	Excluded	AvT	Promoter	Exon	-0.12	-0.106	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
chr22_29681602_29683700	chr22	30005000	30010000	MCF10A	NF2	Excluded	AvT	Promoter	Promoter	-0.12	-0.106	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
chr22_29681602_29683700	chr22	30085000	30090000	MCF10A	NF2	Excluded	AvT	Intron	Intron	-0.12	-0.106	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
chr22_28746009_28757077	chr22	28060000	28065000	MCF10A	HSCB	Excluded	AvT	Intron	Intron	-0.113	-0.113	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
