geneSymbol	Context2	DEG_chr	DEG_start	DEG_end	geneType
CFH	AvT	chr1	196651754	196752476	protein_coding
ENPP4	AvT	chr6	46129964	46146699	protein_coding
AOC1	AvT	chr7	150824627	150861504	protein_coding
CYP26B1	AvT	chr2	72129238	72147862	protein_coding
ICA1	AvT	chr7	8113181	8262687	protein_coding
DBNDD1	AvT	chr16	90004871	90019890	protein_coding
SLC7A2	AvT	chr8	17496975	17570573	protein_coding
SARM1	AvT	chr17	28364356	28404049	protein_coding
PLXND1	AvT	chr3	129555213	129606681	protein_coding
VPS50	AvT	chr7	93232340	93361123	protein_coding
ABCB5	AvT	chr7	20615667	20777038	protein_coding
ARX	AvT	chrX	25003694	25016420	protein_coding
PRSS22	AvT	chr16	2852728	2858210	protein_coding
SKAP2	AvT	chr7	26667003	26995239	protein_coding
HOXA11	AvT	chr7	27181157	27185232	protein_coding
THSD7A	AvT	chr7	11370365	11832198	protein_coding
PON1	AvT	chr7	95297173	95324710	protein_coding
GCFC2	AvT	chr2	75652000	75711184	protein_coding
PDK2	AvT	chr17	50094737	50112152	protein_coding
ITGA3	AvT	chr17	50055968	50090485	protein_coding
ITGA2B	AvT	chr17	44372177	44389649	protein_coding
ASB4	AvT	chr7	95478444	95540233	protein_coding
YBX2	AvT	chr17	7288263	7294639	protein_coding
CACNA1G	AvT	chr17	50560715	50627474	protein_coding
BAIAP2L1	AvT	chr7	98291648	98401115	protein_coding
ETV1	AvT	chr7	13891229	13991425	protein_coding
TTC22	AvT	chr1	54779712	54801323	protein_coding
RHBDF1	AvT	chr16	58058	78176	protein_coding
MYLIP	AvT	chr6	16129086	16151367	protein_coding
E2F2	AvT	chr1	23506438	23531233	protein_coding
SYN1	AvT	chrX	47571901	47619858	protein_coding
JARID2	AvT	chr6	15244937	15522042	protein_coding
CDKL5	AvT	chrX	18425583	18653629	protein_coding
AASS	AvT	chr7	122064583	122144489	protein_coding
PGLYRP1	AvT	chr19	46019153	46023053	protein_coding
MMP25	AvT	chr16	3046062	3060729	protein_coding
IL32	AvT	chr16	3064301	3082192	protein_coding
PAX7	AvT	chr1	18630846	18748876	protein_coding
TRAF3IP3	AvT	chr1	209756032	209782320	protein_coding
MLXIPL	AvT	chr7	73593194	73624568	protein_coding
ETV7	AvT	chr6	36354091	36387800	protein_coding
IFFO1	AvT	chr12	6538961	6556102	protein_coding
GIPR	AvT	chr19	45668221	45683722	protein_coding
FUZ	AvT	chr19	49806866	49817376	protein_coding
FYN	AvT	chr6	111660332	111873475	protein_coding
MRC2	AvT	chr17	62627670	62693597	protein_coding
ANOS1	AvT	chrX	8528874	8732195	protein_coding
DPF1	AvT	chr19	38211006	38229714	protein_coding
SYT7	AvT	chr11	61513714	61581167	protein_coding
ANLN	AvT	chr7	36389727	36453791	protein_coding
DCN	AvT	chr12	91140484	91183217	protein_coding
LDAF1	AvT	chr16	21158305	21181330	protein_coding
EHD3	AvT	chr2	31233961	31269451	protein_coding
GPRC5A	AvT	chr12	12890782	12917937	protein_coding
CHDH	AvT	chr3	53812335	53846466	protein_coding
IGF1	AvT	chr12	102395874	102481744	protein_coding
ATP1A2	AvT	chr1	160115758	160143595	protein_coding
PHLDB1	AvT	chr11	118606396	118658038	protein_coding
MARCO	AvT	chr2	118942172	118994664	protein_coding
CYP24A1	AvT	chr20	54153446	54173986	protein_coding
PRDM11	AvT	chr11	45095806	45235110	protein_coding
SNAI2	AvT	chr8	48917598	48921740	protein_coding
HGF	AvT	chr7	81699010	81770438	protein_coding
NCDN	AvT	chr1	35557456	35567274	protein_coding
ADGRA2	AvT	chr8	37784191	37844896	protein_coding
PLEKHB1	AvT	chr11	73646178	73662819	protein_coding
SERPINB1	AvT	chr6	2832332	2842001	protein_coding
FHL1	AvT	chrX	136146702	136211359	protein_coding
BIRC3	AvT	chr11	102317484	102339403	protein_coding
ABCC2	AvT	chr10	99782640	99852594	protein_coding
PLEKHO1	AvT	chr1	150149183	150164720	protein_coding
EHD2	AvT	chr19	47713416	47743134	protein_coding
TYMP	AvT	chr22	50525752	50530326	protein_coding
VIM	AvT	chr10	17228241	17237593	protein_coding
KCNG1	AvT	chr20	51003655	51023244	protein_coding
